,link,max_salary,min_salary,site,title
0,https://hhcdn.ru/click?b=187872&place=35,,40000руб.,https://hh.ru,Менеджер по продажам
1,https://hhcdn.ru/click?b=187595&place=36,150000руб.,60000руб.,https://hh.ru,Риелтор
2,https://spb.hh.ru/vacancy/37402827?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,65000руб.,45000руб.,https://hh.ru,Работник склада / кладовщик
3,https://spb.hh.ru/vacancy/37127405?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,70000руб.,50000руб.,https://hh.ru,Сотрудник call-центра мебельного магазина
4,https://spb.hh.ru/vacancy/37400415?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,1500бел.руб.,https://hh.ru,Специалист по коммуникации с Клиентами (продажа автомобилей)
5,https://spb.hh.ru/vacancy/37292261?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Подсобный рабочий
6,https://spb.hh.ru/vacancy/33815676?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,60000руб.,39150руб.,https://hh.ru,Специалист по упаковке (склад интернет-магазина)
7,https://spb.hh.ru/vacancy/37360751?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,50000руб.,40000руб.,https://hh.ru,Грузчик/ рабочий на склад
8,https://spb.hh.ru/vacancy/36719995?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,70000руб.,https://hh.ru,Менеджер по продажам
9,https://spb.hh.ru/vacancy/37407686?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,85000руб.,27000руб.,https://hh.ru,Рабочий на производство
10,https://spb.hh.ru/vacancy/36659844?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,75000руб.,https://hh.ru,Водитель-курьер
11,https://spb.hh.ru/vacancy/37227696?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,60000руб.,https://hh.ru,Продавец-консультант ( ТЦ Афимолл)
12,https://spb.hh.ru/vacancy/37386246?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,150000KZT,140000KZT,https://hh.ru,Оператор call-центра
13,https://spb.hh.ru/vacancy/37385368?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,150000KZT,https://hh.ru,Оператор call-центра «Телемагазин Top Shop»
14,https://spb.hh.ru/vacancy/33815681?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,60000руб.,32500руб.,https://hh.ru,Работник склада (интернет-магазина)
15,https://spb.hh.ru/vacancy/37388181?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,780бел.руб.,600бел.руб.,https://hh.ru,Оператор колл-центра
16,https://spb.hh.ru/vacancy/37249245?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,300000руб.,80000руб.,https://hh.ru,Менеджер по продажам моторных масел (входящие заявки)
17,https://spb.hh.ru/vacancy/37227926?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,180000руб.,45000руб.,https://hh.ru,Менеджер-консультант мягкой мебели премиум класса
18,https://spb.hh.ru/vacancy/37378450?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,150000руб.,85000руб.,https://hh.ru,Админ билетного стола
19,https://spb.hh.ru/vacancy/37229320?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,150000руб.,120000руб.,https://hh.ru,Ведущий менеджер по продажам
20,https://spb.hh.ru/vacancy/36858334?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,70000руб.,https://hh.ru,Менеджер по продажам металлопроката
21,https://spb.hh.ru/vacancy/37319390?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,97000руб.,,https://hh.ru,Комплектовщик/комплектовщица на склад
22,https://spb.hh.ru/vacancy/37382284?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,2000USD,1500USD,https://hh.ru,Руководитель отдела розничной торговли(Ритейл менеджер)
23,https://spb.hh.ru/vacancy/37382066?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,2000USD,1500USD,https://hh.ru,Коммерческий директор(Field force manager)
24,https://spb.hh.ru/vacancy/37392978?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,700бел.руб.,https://hh.ru,Продавец-консультант в салон напольных покрытий
25,https://spb.hh.ru/vacancy/36975040?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,45000руб.,https://hh.ru,Оператор лазерной резки
26,https://spb.hh.ru/vacancy/37396146?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,75000руб.,https://hh.ru,HR менеджер / HR Generalist
27,https://spb.hh.ru/vacancy/36877090?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,90000руб.,70000руб.,https://hh.ru,Водитель
28,https://spb.hh.ru/vacancy/37386322?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Специалист по вопросам контроля качества и управления рисками
29,https://spb.hh.ru/vacancy/37402859?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,50000руб.,30000руб.,https://hh.ru,Сборщик жалюзи
30,https://spb.hh.ru/vacancy/37382076?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,50000руб.,20000руб.,https://hh.ru,Менеджер по работе с клиентами
31,https://spb.hh.ru/vacancy/36877134?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,90000руб.,60000руб.,https://hh.ru,Водитель-экспедитор
32,https://spb.hh.ru/vacancy/37036076?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Специалист отдела клиентской поддержки
33,https://spb.hh.ru/vacancy/36763133?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Территориальный менеджер по работе с клиентами
34,https://spb.hh.ru/vacancy/37380699?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Специалист по развитию территории в г. Нур-Султан
35,https://spb.hh.ru/vacancy/37388705?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,,https://hh.ru,Руководитель отдела продаж
36,https://spb.hh.ru/vacancy/37370584?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,170000руб.,40000руб.,https://hh.ru,Менеджер
37,https://spb.hh.ru/vacancy/36924445?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,,1200бел.руб.,https://hh.ru,Специалист по закупкам (категорийный менеджер)
38,https://spb.hh.ru/vacancy/37385441?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,650бел.руб.,550бел.руб.,https://hh.ru,Помощник администратора в игровой клуб
39,https://spb.hh.ru/vacancy/37403230?query=%D0%A0%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,75000руб.,25000руб.,https://hh.ru,Специалист по кредитному анализу и продажам банковских продуктов
